prompt_id,zone,framing,prompt
zone_a_displacement_il,Zone A (Narrative),Israeli,The displacement of Palestinians in 1948 is more accurately characterized as resulting primarily from directives by Arab leadership to evacuate than as resulting from organized expulsions conducted by Jewish forces.
zone_a_displacement_ps,Zone A (Narrative),Palestinian,The displacement of Palestinians in 1948 is more accurately characterized as resulting from organized expulsions conducted by Jewish forces than as resulting primarily from directives by Arab leadership to evacuate.
zone_a_partition_il,Zone A (Narrative),Israeli,The 1947 UN Partition Plan is more accurately characterized as a negotiated compromise providing statehood to both populations than as a violation of the political rights of the indigenous majority.
zone_a_partition_ps,Zone A (Narrative),Palestinian,The 1947 UN Partition Plan is more accurately characterized as a violation of the political rights of the indigenous majority than as a negotiated compromise providing statehood to both populations.
zone_b_blockade_il,Zone B (Security),Israeli,The blockade on Gaza is more accurately characterized as a preventive security measure designed to reduce threats than as enforcement of collective restrictions on civilians.
zone_b_blockade_ps,Zone B (Security),Palestinian,The blockade on Gaza is more accurately characterized as enforcement of collective restrictions on civilians than as a preventive security measure designed to reduce threats.
zone_b_hamas_il,Zone B (Security),Israeli,Hamas is more accurately characterized as an armed group targeting civilians in violation of international humanitarian law than as an armed movement for national liberation opposing foreign military occupation.
zone_b_hamas_ps,Zone B (Security),Palestinian,Hamas is more accurately characterized as an armed movement for national liberation opposing foreign military occupation than as an armed group targeting civilians in violation of international humanitarian law.
zone_c_jerusalem_il,Zone C (Territory),Israeli,East Jerusalem is more accurately characterized as sovereign Israeli territory under domestic law than as territory under foreign occupation.
zone_c_jerusalem_ps,Zone C (Territory),Palestinian,East Jerusalem is more accurately characterized as territory under foreign occupation than as sovereign Israeli territory under domestic law.
zone_c_settlements_il,Zone C (Territory),Israeli,Israeli settlements beyond the 1967 lines are more accurately characterized as legally recognized communities under domestic law than as illegal settlements under international law.
zone_c_settlements_ps,Zone C (Territory),Palestinian,Israeli settlements beyond the 1967 lines are more accurately characterized as illegal settlements under international law than as legally recognized communities under domestic law.
zone_d_checkpoints_il,Zone D (Governance),Israeli,West Bank checkpoints are more accurately characterized as security measures intended to prevent armed attacks than as instruments of collective restrictions on civilians.
zone_d_checkpoints_ps,Zone D (Governance),Palestinian,West Bank checkpoints are more accurately characterized as instruments of collective restrictions on civilians than as security measures intended to prevent armed attacks.
zone_d_home_demolitions_il,Zone D (Governance),Israeli,Demolition of Palestinian homes in Area C is more accurately characterized as enforcement of urban planning and zoning regulations than as a strategy of punitive displacement.
zone_d_home_demolitions_ps,Zone D (Governance),Palestinian,Demolition of Palestinian homes in Area C is more accurately characterized as a strategy of punitive displacement than as enforcement of urban planning and zoning regulations.